Org,PlayerName,name_norm,best_candidate_norm,best_score,second_score,accepted
CHW,Peyton Pallette,peyton pallette,peyton pallette,100.0,57.14285714285714,True
STL,Max Rajcic,max rajcic,,54.54545454545454,50.0,False
SDP,Cole Paplham,cole paplham,,66.66666666666667,63.63636363636363,False
STL,Pete Hansen,pete hansen,,72.72727272727273,69.56521739130434,False
WSN,Riley Cornelio,riley cornelio,,64.28571428571428,64.0,False
BOS,Alex Hoppe,alex hoppe,,66.66666666666667,54.54545454545454,False
PIT,Dominic Perachi,dominic perachi,,71.42857142857143,68.96551724137932,False
LAD,Jared Karros,jared karros,,69.56521739130434,66.66666666666667,False
HOU,Michael Knorr,mike knorr,,76.19047619047619,66.66666666666667,False
HOU,Andrew Taylor,andy taylor,,78.26086956521739,69.56521739130434,False
KCR,Henry Williams,hank williams,,80.0,78.57142857142857,False
MIN,Darren Bowen,darren bowen,,63.63636363636363,58.33333333333333,False
CHW,Noah Schultz,noah schultz,noah schultz,100.0,69.23076923076923,True
TBR,Yereny Teus,yereny teus,,56.00000000000001,56.00000000000001,False
LAD,Luis Carias,luis carias,,80.0,70.0,False
LAD,Samuel Sanchez,sam sanchez,,78.26086956521739,72.0,False
LAA,Francis Texido,francis texido,,69.23076923076923,64.51612903225806,False
COL,Sandy Ozuna,sandy ozuna,,60.86956521739131,57.14285714285714,False
LAA,Yeferson Vargas,yeferson vargas,,61.53846153846154,60.0,False
ATH,Yunior Tur,yunior tur,,72.72727272727273,54.54545454545454,False
MIA,Janero Miller,janero miller,,83.33333333333334,72.0,False
TBR,Jackson Lancaster,jackson lancaster,,68.96551724137932,66.66666666666667,False
ATL,Luis Arestigueta,luis arestigueta,,64.0,62.06896551724138,False
BOS,Jose Bello,jose bello,,69.56521739130434,69.56521739130434,False
LAD,Marlon Nieves,marlon nieves,,69.23076923076923,64.28571428571428,False
TEX,Kohl Drake,kohl drake,kohl drake,100.0,54.54545454545454,True
CLE,Michael Kennedy,mike kennedy,,66.66666666666667,59.25925925925925,False
CLE,Jackson  Humphries,jackson humphries,,70.96774193548387,68.96551724137932,False
SEA,Jeter Martinez,jeter martinez,jeter martinez,100.0,82.75862068965517,True
PIT,David Matoma,dave matoma,,69.56521739130434,63.63636363636363,False
MIN,Jacob Wosinski,jake wosinski,,58.33333333333333,58.33333333333333,False
LAD,Jose Vasquez,jose vasquez,,66.66666666666667,64.0,False
SFG,Brayan Narvaez,brayan narvaez,,64.28571428571428,59.25925925925925,False
MIA,Yohanfer Santana,yohanfer santana,,60.0,58.06451612903225,False
TEX,Michael Valverde,mike valverde,,64.0,64.0,False
MIN,Kyle Bischoff,kyle bischoff,,64.28571428571428,61.53846153846154,False
SEA,Ashton Izzi,ashton izzi,ashton izzi,100.0,54.54545454545454,True
DET,Tanner Kohlhepp,tanner kohlhepp,,60.0,60.0,False
LAA,Camden Minacci,camden minacci,,66.66666666666667,64.0,False
ARI,Hayden Durke,hayden durke,,69.23076923076923,66.66666666666667,False
ARI,Roman Angelo,roman angelo,,61.53846153846154,60.86956521739131,False
TEX,Skylar Hales,skylar hales,,59.25925925925925,56.00000000000001,False
TEX,Ryan Lobus,ryan lobus,,70.0,63.63636363636363,False
PIT,Carlson Reed,carlson reed,,66.66666666666667,66.66666666666667,False
HOU,Colby Langford,colby langford,,53.84615384615385,51.85185185185186,False
CHW,Carson Jacobs,carson jacobs,,78.26086956521739,69.56521739130434,False
STL,Jacob Odle,jake odle,,70.0,63.63636363636363,False
ARI,Kyle Amendt,kyle amendt,,60.86956521739131,60.0,False
CLE,Matt Jachec,matt jachec,,63.63636363636363,61.53846153846154,False
MIL,K.C. Hunt,k c hunt,,60.0,54.54545454545454,False
TOR,Bo Bonds,bo bonds,,63.1578947368421,63.1578947368421,False
